"time","Gateway"
2023-07-18 22:51:42,76
2023-07-18 22:51:43,76
2023-07-18 22:51:44,76
2023-07-18 22:51:45,76
2023-07-18 22:51:46,76
2023-07-18 22:51:47,76
2023-07-18 22:51:48,76
2023-07-18 22:51:49,76
2023-07-18 22:51:50,76
2023-07-18 22:51:51,76
2023-07-18 22:51:52,76
2023-07-18 22:51:53,76
2023-07-18 22:51:54,76
2023-07-18 22:51:55,76
2023-07-18 22:51:56,76
2023-07-18 22:51:57,76
2023-07-18 22:51:58,76
2023-07-18 22:51:59,76
2023-07-18 22:52:00,76
2023-07-18 22:52:01,76
2023-07-18 22:52:02,76
2023-07-18 22:52:03,76
2023-07-18 22:52:04,76
2023-07-18 22:52:05,76
2023-07-18 22:52:06,76
2023-07-18 22:52:07,76
2023-07-18 22:52:08,76
2023-07-18 22:52:09,76
2023-07-18 22:52:10,76
2023-07-18 22:52:11,76
2023-07-18 22:52:12,76
2023-07-18 22:52:13,76
2023-07-18 22:52:14,76
2023-07-18 22:52:15,76
2023-07-18 22:52:16,76
2023-07-18 22:52:17,76
2023-07-18 22:52:18,76
2023-07-18 22:52:19,76
2023-07-18 22:52:20,76
2023-07-18 22:52:21,76
2023-07-18 22:52:22,76
2023-07-18 22:52:23,76
2023-07-18 22:52:24,76
2023-07-18 22:52:25,76
2023-07-18 22:52:26,76
2023-07-18 22:52:27,76
2023-07-18 22:52:28,76
2023-07-18 22:52:29,76
2023-07-18 22:52:30,76
2023-07-18 22:52:31,76
2023-07-18 22:52:32,76
2023-07-18 22:52:33,76
2023-07-18 22:52:34,76
2023-07-18 22:52:35,76
2023-07-18 22:52:36,76
2023-07-18 22:52:37,76
2023-07-18 22:52:38,76
2023-07-18 22:52:39,76
2023-07-18 22:52:40,76
2023-07-18 22:52:41,76
2023-07-18 22:52:42,76
2023-07-18 22:52:43,76
2023-07-18 22:52:44,76
2023-07-18 22:52:45,76
2023-07-18 22:52:46,76
2023-07-18 22:52:47,76
2023-07-18 22:52:48,76
2023-07-18 22:52:49,76
2023-07-18 22:52:50,76
2023-07-18 22:52:51,76
2023-07-18 22:52:52,76
2023-07-18 22:52:53,76
2023-07-18 22:52:54,76
2023-07-18 22:52:55,76
2023-07-18 22:52:56,76
2023-07-18 22:52:57,76
2023-07-18 22:52:58,76
2023-07-18 22:52:59,76
2023-07-18 22:53:00,76
2023-07-18 22:53:01,76
2023-07-18 22:53:02,76
2023-07-18 22:53:03,76
2023-07-18 22:53:04,76
2023-07-18 22:53:05,76
2023-07-18 22:53:06,76
2023-07-18 22:53:07,76
2023-07-18 22:53:08,76
2023-07-18 22:53:09,76
2023-07-18 22:53:10,76
2023-07-18 22:53:11,76
2023-07-18 22:53:12,76
2023-07-18 22:53:13,76
2023-07-18 22:53:14,76
2023-07-18 22:53:15,76
2023-07-18 22:53:16,76
2023-07-18 22:53:17,76
2023-07-18 22:53:18,76
2023-07-18 22:53:19,76
2023-07-18 22:53:20,76
2023-07-18 22:53:21,76
2023-07-18 22:53:22,76
2023-07-18 22:53:23,76
2023-07-18 22:53:24,76
2023-07-18 22:53:25,76
2023-07-18 22:53:26,76
2023-07-18 22:53:27,76
2023-07-18 22:53:28,76
2023-07-18 22:53:29,76
2023-07-18 22:53:30,76
2023-07-18 22:53:31,76
2023-07-18 22:53:32,76
2023-07-18 22:53:33,76
2023-07-18 22:53:34,76
2023-07-18 22:53:35,76
2023-07-18 22:53:36,76
2023-07-18 22:53:37,76
2023-07-18 22:53:38,76
2023-07-18 22:53:39,76
2023-07-18 22:53:40,76
2023-07-18 22:53:41,76
2023-07-18 22:53:42,76
2023-07-18 22:53:43,76
2023-07-18 22:53:44,76
2023-07-18 22:53:45,76
2023-07-18 22:53:46,76
2023-07-18 22:53:47,76
2023-07-18 22:53:48,76
2023-07-18 22:53:49,76
2023-07-18 22:53:50,76
2023-07-18 22:53:51,76
2023-07-18 22:53:52,76
2023-07-18 22:53:53,76
2023-07-18 22:53:54,76
2023-07-18 22:53:55,76
2023-07-18 22:53:56,76
2023-07-18 22:53:57,76
2023-07-18 22:53:58,76
2023-07-18 22:53:59,76
2023-07-18 22:54:00,76
2023-07-18 22:54:01,76
2023-07-18 22:54:02,76
2023-07-18 22:54:03,76
2023-07-18 22:54:04,76
2023-07-18 22:54:05,76
2023-07-18 22:54:06,76
2023-07-18 22:54:07,76
2023-07-18 22:54:08,76
2023-07-18 22:54:09,76
2023-07-18 22:54:10,76
2023-07-18 22:54:11,76
2023-07-18 22:54:12,76
2023-07-18 22:54:13,76
2023-07-18 22:54:14,76
2023-07-18 22:54:15,76
2023-07-18 22:54:16,76
2023-07-18 22:54:17,76
2023-07-18 22:54:18,76
2023-07-18 22:54:19,76
2023-07-18 22:54:20,76
2023-07-18 22:54:21,76
2023-07-18 22:54:22,76
2023-07-18 22:54:23,76
2023-07-18 22:54:24,76
2023-07-18 22:54:25,76
2023-07-18 22:54:26,76
2023-07-18 22:54:27,76
2023-07-18 22:54:28,76
2023-07-18 22:54:29,76
2023-07-18 22:54:30,76
2023-07-18 22:54:31,76
2023-07-18 22:54:32,76
2023-07-18 22:54:33,76
2023-07-18 22:54:34,76
2023-07-18 22:54:35,76
2023-07-18 22:54:36,76
2023-07-18 22:54:37,76
2023-07-18 22:54:38,76
2023-07-18 22:54:39,76
2023-07-18 22:54:40,76
2023-07-18 22:54:41,76
2023-07-18 22:54:42,76
2023-07-18 22:54:43,76
2023-07-18 22:54:44,76
2023-07-18 22:54:45,76
2023-07-18 22:54:46,76
2023-07-18 22:54:47,76
2023-07-18 22:54:48,76
2023-07-18 22:54:49,76
2023-07-18 22:54:50,76
2023-07-18 22:54:51,76
2023-07-18 22:54:52,76
2023-07-18 22:54:53,76
2023-07-18 22:54:54,76
2023-07-18 22:54:55,76
2023-07-18 22:54:56,76
2023-07-18 22:54:57,76
2023-07-18 22:54:58,76
2023-07-18 22:54:59,76
2023-07-18 22:55:00,76
2023-07-18 22:55:01,76
2023-07-18 22:55:02,76
2023-07-18 22:55:03,76
2023-07-18 22:55:04,76
2023-07-18 22:55:05,76
2023-07-18 22:55:06,76
2023-07-18 22:55:07,76
2023-07-18 22:55:08,76
2023-07-18 22:55:09,76
2023-07-18 22:55:10,76
2023-07-18 22:55:11,76
2023-07-18 22:55:12,76
2023-07-18 22:55:13,76
2023-07-18 22:55:14,76
2023-07-18 22:55:15,76
2023-07-18 22:55:16,76
2023-07-18 22:55:17,76
2023-07-18 22:55:18,76
2023-07-18 22:55:19,76
2023-07-18 22:55:20,76
2023-07-18 22:55:21,76
2023-07-18 22:55:22,76
2023-07-18 22:55:23,76
2023-07-18 22:55:24,76
2023-07-18 22:55:25,76
2023-07-18 22:55:26,76
2023-07-18 22:55:27,76
2023-07-18 22:55:28,76
2023-07-18 22:55:29,76
2023-07-18 22:55:30,76
2023-07-18 22:55:31,76
2023-07-18 22:55:32,76
2023-07-18 22:55:33,76
2023-07-18 22:55:34,76
2023-07-18 22:55:35,76
2023-07-18 22:55:36,76
2023-07-18 22:55:37,76
2023-07-18 22:55:38,76
2023-07-18 22:55:39,76
2023-07-18 22:55:40,76
2023-07-18 22:55:41,76
2023-07-18 22:55:42,76
2023-07-18 22:55:43,76
2023-07-18 22:55:44,76
2023-07-18 22:55:45,76
2023-07-18 22:55:46,76
2023-07-18 22:55:47,76
2023-07-18 22:55:48,76
2023-07-18 22:55:49,76
2023-07-18 22:55:50,76
2023-07-18 22:55:51,76
2023-07-18 22:55:52,76
2023-07-18 22:55:53,76
2023-07-18 22:55:54,76
2023-07-18 22:55:55,76
2023-07-18 22:55:56,76
2023-07-18 22:55:57,76
2023-07-18 22:55:58,76
